Отвертка,0.723595,0.715169,0.514608,0.676503,0.522201,0.603542,0.731188,0.642208
Отвертка,-0.056520,0.449265,0.045642,0.251069,0.610643,0.768823,0.508481,0.967018
Отвертка,0.237890,0.572459,0.230033,0.493946,0.595409,0.428944,0.603266,0.507456
Отвертка,0.700997,0.187458,0.424671,0.491172,0.369154,0.401375,0.645480,0.097661
Отвертка,0.678351,0.264518,0.799986,0.300175,0.741895,0.652460,0.620260,0.616802
Отвертка,0.906125,0.271141,1.019618,0.337882,0.841130,0.877465,0.727637,0.810723
Отвертка,0.631385,0.481514,0.643561,0.574541,0.231657,0.670393,0.219480,0.577366
Отвертка,0.334600,0.505313,0.262846,0.418258,0.482308,0.096678,0.554062,0.183732
Отвертка,0.831811,0.208488,0.892458,0.238240,0.778633,0.650730,0.717986,0.620978
Отвертка,0.152798,0.339142,0.340837,0.072153,0.423800,0.176029,0.235760,0.443018
Отвертка,0.722815,0.056461,0.787130,0.095722,0.644753,0.510361,0.580438,0.471100
